نوع البطوله,الفريق الاول,الفريق الثاني,ميعاد المباره,النتيجه
كأس العالم للأندية,الوداد البيضاوي,الهلال,None,- - -
كأس العالم للأندية,سياتل ساوندرز,الأهلي,None,- - -
الدوري الإنجليزي,ايفرتون,أرسنال,None,0 - 0
الدوري الإنجليزي,برايتون,بورنموث,None,- - -
الدوري الإنجليزي,برينتفورد,ساوثامبتون,None,- - -
الدوري الإنجليزي,استون فيلا,ليستر سيتي,None,- - -
الدوري الإنجليزي,مانشستر يونايتد,كريستال بالاس,None,- - -
الدوري الإنجليزي,وولفرهامبتون,ليفربول,None,- - -
الدوري الإنجليزي,نيوكاسل,وست هام يونايتد,None,- - -
الدوري الإسباني,اسبانيول,أوساسونا,None,- - -
الدوري الإسباني,إلتشي,فياريال,None,- - -
الدوري الإسباني,اتلتيكو مدريد,خيتافي,None,- - -
الدوري الإسباني,ريال بيتيس,سيلتا فيجو,None,- - -
الدوري الإيطالي,كريمونيسي,ليتشي,None,- - -
الدوري الإيطالي,روما,إمبولي,None,- - -
الدوري الإيطالي,ساسولو,أتالانتا,None,- - -
الدوري الألماني,بروسيا دورتموند,فرايبورج,None,- - -
الدوري الألماني,يونيون برلين,ماينز,None,- - -
الدوري الألماني,كولن,لايبزيج,None,- - -
الدوري الألماني,بوخوم,هوفنهايم,None,- - -
الدوري الألماني,آ. فرانكفورت,هيرتا برلين,None,- - -
الدوري الألماني,مونشنجلادباخ,شالكه,None,- - -
الدوري الفرنسي,ب. س. جيرمان,تولوز,None,- - -
الدوري الفرنسي,تروا,ليون,None,- - -
الدوري الفرنسي,رين,ليل,None,- - -
الدوري التركي,أنقرة جوتشو,فاتح كاراجومروك,None,0 - 2
الدوري التركي,سيفاسبور,بشكتاش,None,- - -
الدوري التركي,انطاليا سبور,غازي عنتاب بي.بي.كي,None,- - -
الدوري السعودي,الطــائي,الاتحاد,None,- - -
الدوري السعودي,الفيحاء,الوحدة,None,- - -
الدوري البرتغالي,سانتا كلارا,بوافيستا,None,- - -
الدوري البرتغالي,بنفيكا,كازا بيا,None,- - -
الدوري البرتغالي,إستوريل,فيتوريا جيماريش,None,- - -
الدوري الإماراتي,عجمان,النصر الإماراتي,None,- - -
الدوري الإماراتي,شباب الأهلي,دبا,None,- - -
الدوري الإماراتي,بني ياس,الشــارقة,None,- - -
دوري نجوم قطر,السد القطري,ام صلال,None,- - -
دوري نجوم قطر,الوكرة,الغرافة,None,- - -
دوري نجوم قطر,الدحيل,الأهلي القطري,None,- - -
دوري نجوم قطر,الريان,العربي,None,- - -
